Course-Name,Course-Link
HTML,https://www.w3schools.com//html/default.asp
CSS,https://www.w3schools.com//css/default.asp
JAVASCRIPT,https://www.w3schools.com//js/default.asp
SQL,https://www.w3schools.com//sql/default.asp
PYTHON,https://www.w3schools.com//python/default.asp
JAVA,https://www.w3schools.com//java/default.asp
PHP,https://www.w3schools.com//php/default.asp
HOW TO,https://www.w3schools.com//howto/default.asp
W3.CSS,https://www.w3schools.com//w3css/default.asp
C,https://www.w3schools.com//c/index.php
C++,https://www.w3schools.com//cpp/default.asp
C#,https://www.w3schools.com//cs/index.php
BOOTSTRAP,https://www.w3schools.com//bootstrap/bootstrap_ver.asp
REACT,https://www.w3schools.com//react/default.asp
MYSQL,https://www.w3schools.com//mysql/default.asp
JQUERY,https://www.w3schools.com//jquery/default.asp
EXCEL,https://www.w3schools.com//excel/index.php
XML,https://www.w3schools.com//xml/default.asp
DJANGO,https://www.w3schools.com//django/index.php
NUMPY,https://www.w3schools.com//python/numpy/default.asp
PANDAS,https://www.w3schools.com//python/pandas/default.asp
NODEJS,https://www.w3schools.com//nodejs/default.asp
R,https://www.w3schools.com//r/default.asp
TYPESCRIPT,https://www.w3schools.com//typescript/index.php
ANGULAR,https://www.w3schools.com//angular/default.asp
GIT,https://www.w3schools.com//git/default.asp
POSTGRESQL,https://www.w3schools.com//postgresql/index.php
MONGODB,https://www.w3schools.com//mongodb/index.php
ASP,https://www.w3schools.com//asp/default.asp
AWS,https://www.w3schools.com//aws/index.php
AI,https://www.w3schools.com//ai/default.asp
GO,https://www.w3schools.com//go/index.php
KOTLIN,https://www.w3schools.com//kotlin/index.php
SASS,https://www.w3schools.com//sass/default.asp
VUE,https://www.w3schools.com//vue/index.php
GEN AI,https://www.w3schools.com//gen_ai/index.php
SCIPY,https://www.w3schools.com//python/scipy/index.php
CYBERSECURITY,https://www.w3schools.com//cybersecurity/index.php
DATA SCIENCE,https://www.w3schools.com//datascience/default.asp
